Tratamiento,CERRADO,15/02/2024,11938842,BRAUNCO SAU.,30-65565009/8,8727,SAAVEDRA Nº : 2655,EL TALAR,BRAUNCO SAU.,30-65565009/8,8727,SAAVEDRA Nº : 2655,EL TALAR,AMBIENSA SERVICIOS S.A.,30-71085416/1,37580,Ruta: : NACIONAL 9 Km:: 75,ZARATE,Y12,5000
Tratamiento,CERRADO,15/02/2024,11938843,S.A. MIGUEL CAMPODONICO LTDA.,33-52780130/9,7085,CALLE 58 Nº : 331 Piso: : --- Ruta: : --- Km:: ---,LA PLATA,PEREZ DE BARCIA FRANCISCO,20-05161918/9,97520,8 Nº : 45,VILLA ARGUELLO,PEREZ DE BARCIA FRANCISCO,20-05161918/9,97520,8 Nº : 45,VILLA ARGUELLO,200101,360
Tratamiento,CERRADO,21/02/2024,11938844,LATINPLAST S.R.L.,30-68964414/3,2120,CALLE 11 Nº : S/N? Piso: : ...... Ruta: : 8 Km:: 60,PILAR,TRANSPORTES OLIVOS S.A.C.I. Y F.,30-51743143/1,18889,LA MADRID Nº : 369 Piso: : PB,TIGRE,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,160306,100
Tratamiento,CERRADO,15/02/2024,11938845,NOVOCAP S.A.,30-50510926/7,34124,TORCUATO DI TELLA Nº : 936,PIÑEYRO,BENITEZ LOGISTICA AMBIENTAL Y ENVASES S.A.,30-70846877/7,39906,VICTOR HUGO Nº : 348/58,AVELLANEDA,DESLER S.A.,30-65595408/9,13408,STEPHENSON Nº : 3094,MALVINAS ARGENTINAS,Y2,360
Tratamiento,VALIDADO,20/02/2024,11938847,LUIS & MIGUEL ZANNIELLO S.A,30-50028803/1,17737,CALLE 9 ESQ. 12 PARQUE INDUSTRIAL PILAR Nº : 0,PILAR,TRANSPORTES OLIVOS S.A.C.I. Y F.,30-51743143/1,18889,LA MADRID Nº : 369 Piso: : PB,TIGRE,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,160306,100
Tratamiento,CERRADO,16/02/2024,11938848,ANICETO GOMEZ S.A.,30-66138495/2,25473,ALMEIRA - CALLE 133 Nº : 2434,VILLA LIBERTAD,TRANSPORTE LA CATRASA S.R.L.,30-71199616/4,46811,AMADEO LERTORA Nº : 5037,LANUS,RECOVERING S.A.,30-69074244/2,5537,Ruta: : NACIONAL N° 9 Km:: 75,CAMPANA,Y9,600
Tratamiento,CERRADO,16/02/2024,11938848,ANICETO GOMEZ S.A.,30-66138495/2,25473,ALMEIRA - CALLE 133 Nº : 2434,VILLA LIBERTAD,TRANSPORTE LA CATRASA S.R.L.,30-71199616/4,46811,AMADEO LERTORA Nº : 5037,LANUS,RECOVERING S.A.,30-69074244/2,5537,Ruta: : NACIONAL N° 9 Km:: 75,CAMPANA,Y9,810
Tratamiento,VALIDADO,22/02/2024,11938849,LUIS & MIGUEL ZANNIELLO S.A,30-50028803/1,17737,CALLE 9 ESQ. 12 PARQUE INDUSTRIAL PILAR Nº : 0,PILAR,TRANSPORTES OLIVOS S.A.C.I. Y F.,30-51743143/1,18889,LA MADRID Nº : 369 Piso: : PB,TIGRE,ARX ARCILLEX S.A.,30-52142239/0,33142,SALVADOR DE BENEDETTI Nº : 1200,JOSE LEON SUAREZ,160306,100
Tratamiento,CERRADO,16/02/2024,11938851,YPF S.A,30-54668997/9,11319,COMPLEJO INDUSTRIAL LA PLATA Nº : S/Nº,ENSENADA,NORVAS S.R.L.,30-61313435/9,37366,GUEMES Nº : 1240,BENAVIDEZ,NORVAS S.R.L.,30-61313435/9,37366,GUEMES Nº : 1240,BENAVIDEZ,Y9,31
Tratamiento,CERRADO,15/02/2024,11938852,CORNAPESA CONTINENTAL ARMADORES DE PESCA S.A.,30-57785659/8,20582,PTO ROSALES  Nº : 0,PUNTA ALTA,ECOPETROL S.H. DE GARCIA NICOLAS SERGIO Y GARCIA SEBASTIAN ANDRES,30-70925412/6,42820,Piso: : ---------- Ruta: : 3 Km: : 498.5,TRES ARROYOS,IPES SA,30-66418401/6,27646,Ruta: : 33 Km:: 18,LA VITICOLA,Y9,1260
Tratamiento,CERRADO,16/02/2024,11938854,DIVERSEY DE ARGENTINA S.A.,30-69727667/6,18050,853 - AV. MARQUEZ Nº : 970/990,VILLA BOSCH,DELTAM S.R.L.,30-58158706/2,11787,GENERAL MADARIAGA Nº : 2165,SARANDI,DELTAM S.R.L.,30-58158706/2,11787,GENERAL MADARIAGA Nº : 2165,SARANDI,Y18,20
